item,full_label,theme,mean_score,variance
T01,T01. Artificial Intelligence will improve society more than it will create problems.,T,0.3103448275862069,0.2427665477606025
T02,T02. Generative AI tools should be allowed as learning aids in higher education.,T,0.5114942528735632,0.24699431893248786
T03,T03. Students should disclose the use of AI in assignments and reports.,T,0.5176470588235295,0.16733564013840826
T04,T04. Every engineering student should receive formal education in AI.,T,0.603448275862069,0.17895362663495834
T05,T05. Artificial Intelligence will significantly accelerate scientific discovery.,T,0.5919540229885057,0.20993526225393053
T06,T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T,0.603448275862069,0.19619500594530317
T07,T07. Robots should replace humans in hazardous occupations whenever possible.,T,0.603448275862069,0.2709076496234641
T08,T08. AI-assisted diagnosis should become routine in healthcare.,T,0.03488372093023256,0.30110870740941037
T09,T09. Autonomous vehicles will ultimately make transportation safer.,T,0.13372093023255813,0.22339778258518114
T10,T10. Protection of personal data is more important than technological convenience.,T,0.5919540229885057,0.1926938829435857
T11,T11. Technology companies should explain how recommendation algorithms work.,T,0.5823529411764706,0.19321799307958476
T12,T12. Governments should introduce stricter regulations for Artificial Intelligence.,T,0.5290697674418605,0.25206192536506217
T13,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T,0.5058823529411764,0.2029065743944636
T14,T14. Social media algorithms contribute to opinion polarization.,T,0.75,0.14970930232558138
T15,T15. Society will increasingly depend on AI-assisted decision making.,T,0.5930232558139535,0.1483234180638183
E01,E01. Project-based learning develops deeper understanding than examination-oriented learning.,E,0.6609195402298851,0.20398995904346673
E02,E02. Traditional written examinations accurately measure a student's knowledge.,E,-0.08045977011494253,0.3096181794160391
E03,E03. Class attendance should be compulsory for all courses.,E,-0.47126436781609193,0.3123926542475889
E04,E04. High-quality online learning can effectively complement classroom teaching.,E,0.21839080459770116,0.33736292773153664
E05,E05. Students should be encouraged to take courses outside their primary discipline.,E,0.5470588235294118,0.20366782006920417
E06,E06. Every undergraduate student should participate in at least one research project.,E,0.436046511627907,0.2255611141157383
E07,"E07. Publishing research before graduation should be encouraged, but not mandatory.",E,0.6494252873563219,0.1385916237283657
E08,E08. Maintaining academic honesty is more important than obtaining high grades.,E,0.6294117647058823,0.15972318339100344
E09,E09. Collaborative learning is generally more effective than individual learning.,E,0.3953488372093023,0.26811790156841525
E10,E10. Universities should prioritize innovation and problem-solving over rote learning.,E,0.764367816091954,0.11976483022856386
E11,E11. University curricula should be updated more frequently to match emerging technologies.,E,0.8103448275862069,0.09908838684106222
E12,E12. Artificial intelligence should be integrated into teaching and personalized learning.,E,0.46551724137931033,0.2631787554498613
E13,E13. Universities should invest more resources in research than in expanding infrastructure.,E,0.17058823529411765,0.2208996539792388
E14,E14. Strong collaborations between universities and industry improve student education.,E,0.764367816091954,0.11976483022856386
E15,E15. Continuous learning and skill development are essential throughout one's career.,E,0.8563218390804598,0.06268991940811201
S01,S01. Every individual has a responsibility to contribute positively to society.,S,0.6395348837209303,0.20146024878312607
S02,S02. Universities should encourage students to participate in community service activities.,S,0.41954022988505746,0.2751354207953495
S03,S03. New technologies should be evaluated for their societal impact before widespread deployment.,S,0.632183908045977,0.18655040295943986
S04,S04. Technology companies should be accountable for unethical use of their platforms.,S,0.5747126436781609,0.24441802087462022
S05,S05. Individuals should have greater control over how their personal data are collected and used.,S,0.8160919540229885,0.08686748579733124
S06,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",S,0.6954022988505747,0.16296736689126698
S07,S07. Equal opportunities should be prioritized regardless of a person's background.,S,0.7151162790697675,0.1543063818280151
S08,S08. Diverse teams generally make better decisions than homogeneous teams.,S,0.45930232558139533,0.2512506760411033
S09,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,S,0.7352941176470589,0.08581314878892733
S10,S10. Scientific evidence should play an important role in public policy decisions.,S,0.625,0.13020833333333334
S11,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,S,0.7758620689655172,0.09056678557273089
S12,S12. Young people should actively participate in addressing societal challenges.,S,0.627906976744186,0.15224445646295295
S13,S13. Critical evaluation of online information should be taught as a core educational skill.,S,0.632183908045977,0.12907913859162376
S14,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,S,0.6488095238095238,0.135593820861678
S15,S15. Building public trust is essential for responsible adoption of emerging technologies.,S,0.622093023255814,0.1856746890210925
V01,V01. Climate change requires immediate global action.,V,0.7588235294117647,0.09771626297577858
V02,V02. Governments should prioritize investment in renewable energy over fossil fuels.,V,0.7176470588235294,0.13204152249134948
V03,V03. Individuals should actively reduce their personal energy consumption.,V,0.48255813953488375,0.21190508382909687
V04,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,V,0.6918604651162791,0.12888723634396967
V05,V05. Single-use plastics should be significantly restricted.,V,0.686046511627907,0.1572471606273661
V06,"V06. Water conservation should be a priority in households, institutions, and industries.",V,0.7559523809523809,0.08627409297052153
V07,V07. Protecting biodiversity is essential for long-term human well-being.,V,0.7470588235294118,0.1154325259515571
V08,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,V,0.6470588235294118,0.1342560553633218
V09,"V09. Products should be designed to encourage reuse, repair, and recycling.",V,0.8,0.12470588235294117
V10,V10. Consumers should consider environmental impact when purchasing products.,V,0.5176470588235295,0.18498269896193772
V11,V11. Technological innovation is essential for addressing environmental challenges.,V,0.6607142857142857,0.12000425170068027
V12,V12. Environmental sustainability should be integrated into higher education curricula.,V,0.5595238095238095,0.2107426303854875
V13,V13. Companies should be held accountable for the environmental impacts of their activities.,V,0.8352941176470589,0.07875432525951559
V14,V14. International cooperation is necessary to effectively address environmental challenges.,V,0.7764705882352941,0.10297577854671282
V15,V15. Current generations have a responsibility to protect natural resources for future generations.,V,0.7529411764705882,0.09778546712802764
