cluster_position,item,full_question
1,S06,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments."
2,V05,V05. Single-use plastics should be significantly restricted.
3,V06,"V06. Water conservation should be a priority in households, institutions, and industries."
4,S07,S07. Equal opportunities should be prioritized regardless of a person's background.
5,V02,V02. Governments should prioritize investment in renewable energy over fossil fuels.
6,E15,E15. Continuous learning and skill development are essential throughout one's career.
7,V13,V13. Companies should be held accountable for the environmental impacts of their activities.
8,V09,"V09. Products should be designed to encourage reuse, repair, and recycling."
9,E11,E11. University curricula should be updated more frequently to match emerging technologies.
10,S05,S05. Individuals should have greater control over how their personal data are collected and used.
11,T14,T14. Social media algorithms contribute to opinion polarization.
12,S11,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.
13,V01,V01. Climate change requires immediate global action.
14,V07,V07. Protecting biodiversity is essential for long-term human well-being.
15,S09,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.
16,V15,V15. Current generations have a responsibility to protect natural resources for future generations.
17,V14,V14. International cooperation is necessary to effectively address environmental challenges.
18,E10,E10. Universities should prioritize innovation and problem-solving over rote learning.
19,E14,E14. Strong collaborations between universities and industry improve student education.
20,T12,T12. Governments should introduce stricter regulations for Artificial Intelligence.
21,E05,E05. Students should be encouraged to take courses outside their primary discipline.
22,V10,V10. Consumers should consider environmental impact when purchasing products.
23,V12,V12. Environmental sustainability should be integrated into higher education curricula.
24,T11,T11. Technology companies should explain how recommendation algorithms work.
25,T15,T15. Society will increasingly depend on AI-assisted decision making.
26,T05,T05. Artificial Intelligence will significantly accelerate scientific discovery.
27,T07,T07. Robots should replace humans in hazardous occupations whenever possible.
28,T04,T04. Every engineering student should receive formal education in AI.
29,T10,T10. Protection of personal data is more important than technological convenience.
30,S04,S04. Technology companies should be accountable for unethical use of their platforms.
31,E08,E08. Maintaining academic honesty is more important than obtaining high grades.
32,S10,S10. Scientific evidence should play an important role in public policy decisions.
33,S01,S01. Every individual has a responsibility to contribute positively to society.
34,T06,T06. Most repetitive jobs will eventually be replaced by intelligent automation.
35,V04,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.
36,S03,S03. New technologies should be evaluated for their societal impact before widespread deployment.
37,S14,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.
38,S13,S13. Critical evaluation of online information should be taught as a core educational skill.
39,S15,S15. Building public trust is essential for responsible adoption of emerging technologies.
40,V08,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.
41,V11,V11. Technological innovation is essential for addressing environmental challenges.
42,S12,S12. Young people should actively participate in addressing societal challenges.
43,E01,E01. Project-based learning develops deeper understanding than examination-oriented learning.
44,E07,"E07. Publishing research before graduation should be encouraged, but not mandatory."
